#time  flux    error
55029.3503438     0.987776177604     3.8e-05
55029.3707777     0.9895356889     3.8e-05
55029.3912117     0.99065435399     3.8e-05
55029.4116456     0.991744618849     3.8e-05
55029.4320796     0.993660151157     3.8e-05
55029.4525135     0.994574439353     3.8e-05
55029.4729473     0.996484118448     3.8e-05
55029.4933814     0.99746536441     3.8e-05
55029.5138154     0.998904691201     3.8e-05
55029.5342493     1.00036326593     3.8e-05
55029.5546832     1.00176800463     3.8e-05
55029.5751172     1.00339223539     3.8e-05
55029.595551     1.00434461024     3.8e-05
55029.615985     1.00618772183     3.8e-05
55029.636419     1.0065515008     3.8e-05
55029.656853     1.00839847839     3.8e-05
55029.6772868     1.00952401316     3.8e-05
55029.6977209     1.01013905346     3.8e-05
55029.7181548     1.01084844734     3.8e-05
55029.7385887     1.01188026722     3.8e-05
55029.7590226     1.01213890151     3.8e-05
55029.7794566     1.01326163681     3.8e-05
55029.7998905     1.01300790094     3.8e-05
55029.8203244     1.01341891004     3.8e-05
55029.8407585     1.01339041352     3.8e-05
55029.8611923     1.01311732033     3.8e-05
55029.8816263     1.01309258177     3.8e-05
55029.9020602     1.01263625514     3.8e-05
55029.9224942     1.01216955674     3.8e-05
55029.9429281     1.01179931372     3.8e-05
55029.963362     1.0101867915     3.8e-05
55029.9837961     1.01086351513     3.8e-05
55030.0246638     1.00861266139     3.8e-05
55030.0450977     1.00714234717     3.8e-05
55030.0655317     1.00564265957     3.8e-05
55030.0859657     1.00486075656     3.8e-05
55030.1063995     1.00307274257     3.8e-05
55030.1268335     1.00191048834     3.7e-05
55030.1472675     1.00008742879     3.7e-05
55030.1677014     0.999244120459     3.7e-05
55030.1881352     0.997306870925     3.7e-05
55030.2085693     0.996057585011     3.7e-05
55030.2290032     0.994984696217     3.7e-05
55030.2494371     0.99292263055     3.7e-05
55030.2698711     0.991904027227     3.6e-05
55030.290305     0.990759342427     3.6e-05
55030.3107389     0.989341418445     3.6e-05
55030.3311728     0.987053033877     3.6e-05
55030.3516068     0.972630725819     3.6e-05
55030.3720407     0.9433812879     3.6e-05
55030.3924746     0.909830392466     3.6e-05
55030.4129086     0.873147028501     3.5e-05
55030.4333426     0.840848636735     3.5e-05
55030.4537764     0.81746270497     3.5e-05
55030.4742103     0.806597169287     3.5e-05
55030.4946444     0.809970318026     3.5e-05
55030.5150782     0.827541280306     3.5e-05
55030.5355121     0.855757623675     3.5e-05
55030.5559462     0.890034275971     3.6e-05
55030.57638     0.926193933595     3.6e-05
55030.5968139     0.957925387067     3.6e-05
55030.6172479     0.980601939398     3.6e-05
55030.6376818     0.986705119102     3.6e-05
55030.6581157     0.988252614913     3.6e-05
55030.6785497     0.989556102281     3.6e-05
55030.6989836     0.990889637395     3.7e-05
55030.7194175     0.992579662215     3.7e-05
55030.7398515     0.993991370917     3.7e-05
55030.7602853     0.995737888553     3.7e-05
55030.7807193     0.997042405187     3.7e-05
55030.8011532     0.999301111028     3.7e-05
55030.8215871     1.00103975712     3.7e-05
55030.8420211     1.00264484314     3.8e-05
55030.862455     1.00477435463     3.8e-05
55030.8828889     1.00631601634     3.8e-05
55030.9033228     1.00765922604     3.8e-05
55030.9237568     1.00986273542     3.8e-05
55030.9441907     1.01093803545     3.8e-05
55030.9646245     1.01269109067     3.8e-05
55030.9850585     1.01350813981     3.8e-05
55031.0054925     1.01479305462     3.8e-05
55031.0259263     1.01541553583     3.8e-05
55031.0667943     1.01643500186     3.8e-05
55031.0872281     1.01637149683     3.8e-05
55031.107662     1.0164496978     3.8e-05
55031.1280959     1.01682130536     3.8e-05
55031.1485299     1.01536054537     3.8e-05
55031.1689638     1.01507033442     3.8e-05
55031.1893977     1.01384367649     3.8e-05
55031.2098316     1.01265686086     3.8e-05
55031.2302656     1.01181035492     3.8e-05
55031.2506995     1.01034397129     3.8e-05
55031.2711333     1.00812503002     3.8e-05
55031.2915673     1.00738680708     3.8e-05
